Treatment,Plot,Range,Row,Name,Species,Fresh Weight (g),Dry Weight (g),Time,Plant height(cm),Plant height(cm)  – rep 2,Weight (kg/plot),Yield (t/ha)
HTPC,3012,3,12,Devil_135,Wheat,48.6,9.84,August,27,28,3.75,3.04
HTPC,5003,5,3,Devil_135,Wheat,33.88,7.34,August,29,32,2.65,2.15
HTPC,6001,6,1,Devil_135,Wheat,40.06,9.13,August,18,24,2.8,2.27
HTPC,3012,3,12,Devil_135,Wheat,123.52,27.3,September,39,46,3.75,3.04
HTPC,5003,5,3,Devil_135,Wheat,161.23,36.4,September,46,41,2.65,2.15
HTPC,6001,6,1,Devil_135,Wheat,155.86,35.2,September,43,47,2.8,2.27
HTPC,3012,3,12,Devil_135,Wheat,348.8,150.4,October,70,75,3.75,3.04
HTPC,5003,5,3,Devil_135,Wheat,177.1,89.6,October,75,80,2.65,2.15
HTPC,6001,6,1,Devil_135,Wheat,226.8,105.4,October,70,75,2.8,2.27
HTPC,1011,1,11,Devil_224,Wheat,54.36,10.78,August,26,28,3,2.44
HTPC,2008,2,8,Devil_224,Wheat,65.13,13.3,August,26,23,2.85,2.31
HTPC,3010,3,10,Devil_224,Wheat,67.38,14.02,August,26,31,3.25,2.64
HTPC,1011,1,11,Devil_224,Wheat,176.29,34.7,September,52,49,3,2.44
HTPC,2008,2,8,Devil_224,Wheat,194.26,41.3,September,45,46,2.85,2.31
HTPC,3010,3,10,Devil_224,Wheat,103.85,22.3,September,46,47,3.25,2.64
HTPC,1011,1,11,Devil_224,Wheat,297.6,155.2,October,70,70,3,2.44
HTPC,2008,2,8,Devil_224,Wheat,212.8,102,October,75,70,2.85,2.31
HTPC,3010,3,10,Devil_224,Wheat,260.3,124.6,October,75,80,3.25,2.64
HTPC,1008,1,8,Devil_84,Wheat,41.14,8.66,August,28,26,3.25,2.64
HTPC,2009,2,9,Devil_84,Wheat,20.87,4.3,August,26,27,3,2.44
HTPC,2012,2,12,Devil_84,Wheat,35.73,7.94,August,27,29,3.4,2.76
HTPC,3001,3,1,Devil_84,Wheat,27.65,5.79,August,24,26,2.65,2.15
HTPC,1008,1,8,Devil_84,Wheat,200.69,41.6,September,46,43,3.25,2.64
HTPC,2009,2,9,Devil_84,Wheat,140.74,29.9,September,51,46,3,2.44
HTPC,2012,2,12,Devil_84,Wheat,68.73,14,September,36,45,3.4,2.76
HTPC,3001,3,1,Devil_84,Wheat,82.86,18.8,September,37,52,2.65,2.15
HTPC,1008,1,8,Devil_84,Wheat,356.9,160.2,October,70,75,3.25,2.64
HTPC,2009,2,9,Devil_84,Wheat,235.8,106,October,70,75,3,2.44
HTPC,2012,2,12,Devil_84,Wheat,276.7,134.8,October,75,70,3.4,2.76
HTPC,3001,3,1,Devil_84,Wheat,191.8,96,October,70,75,2.65,2.15
HTPM,3009,3,9,Emu Rock_100,Wheat,73.44,14.22,August,31,30,2.5,2.03
HTPM,4008,4,8,Emu Rock_100,Wheat,38.38,7.44,August,26,27,2.65,2.15
HTPM,3009,3,9,Emu Rock_100,Wheat,109.19,21.8,September,49,46,2.5,2.03
